,match_date,home_team,away_team,home_team_avg_home_goals,home_team_avg_total_goals,away_team_avg_away_goals,away_team_avg_total_goals,home_team_form_score,away_team_form_score,odds_home_team,odds_away_team,odds_draw
52,2024-11-09,Getafe,Girona,0.8,0.7,0.7,1.3,-1.0,-0.5,2.48,3.6,3.15
53,2024-11-09,Espanyol,Valencia,1.3,0.9,0.3,0.7,-3.5,-1.0,2.6,3.45,2.98
54,2024-11-08,Rayo Vallecano,Las Palmas,1.4,1.1,1.0,1.1,1.0,0.0,1.92,5.1,3.55
55,2024-11-04,Celta Vigo,Getafe,1.7,1.5,0.6,0.7,-2.0,0.0,2.18,4.6,3.15
56,2024-11-03,Sevilla,Real Sociedad,1.0,1.1,0.4,0.7,1.0,0.0,3.65,2.44,3.2
57,2024-11-03,Barcelona,Espanyol,3.8,3.4,0.4,0.9,3.5,-2.5,1.17,22.0,9.4
58,2024-11-03,Atletico Madrid,Las Palmas,2.0,1.5,1.2,1.2,0.5,0.0,1.35,12.0,5.8
59,2024-11-03,Athletic Bilbao,Betis,1.7,1.5,0.6,1.0,1.0,1.0,1.96,4.8,3.6
60,2024-11-02,Villarreal,Rayo Vallecano,2.2,1.8,0.8,1.1,0.5,1.0,1.73,5.5,4.2
61,2024-11-02,Valencia,Real Madrid,1.2,0.7,1.4,1.9,-1.0,2.0,8.4,1.5,4.6
62,2024-11-02,Osasuna,Valladolid,2.0,1.5,1.0,0.8,1.0,-2.0,1.72,6.2,3.95
63,2024-11-02,Girona,Leganes,1.4,1.0,0.7,0.8,-1.5,-0.5,1.73,6.4,3.75
64,2024-11-01,Alaves,Mallorca,1.2,1.2,1.2,0.9,-3.5,1.5,2.44,3.9,3.0
65,2024-10-28,Mallorca,Athletic Bilbao,0.8,1.0,1.8,1.7,1.5,1.5,2.58,3.4,3.15
66,2024-10-27,Real Sociedad,Osasuna,1.2,0.8,0.5,1.4,1.0,0.0,1.67,6.6,4.0
67,2024-10-27,Leganes,Celta Vigo,0.5,0.6,1.8,1.7,-2.0,-0.5,4.1,2.24,3.3
68,2024-10-27,Getafe,Valencia,0.8,0.7,0.2,0.7,0.0,-2.0,2.18,5.0,2.96
69,2024-10-27,Betis,Atletico Madrid,1.4,1.0,1.2,1.6,1.0,2.0,3.75,2.32,3.3
70,2024-10-26,Valladolid,Villarreal,0.6,0.8,1.4,1.8,-2.0,0.5,4.1,2.04,3.75
71,2024-10-26,Real Madrid,Barcelona,2.8,2.1,3.0,3.3,3.5,2.5,2.04,3.65,4.4
72,2024-10-26,Rayo Vallecano,Alaves,1.5,1.1,1.4,1.3,0.5,-3.5,2.04,4.8,3.35
73,2024-10-26,Las Palmas,Girona,1.2,1.2,0.8,1.1,-2.0,-1.0,2.78,2.92,3.35
74,2024-10-25,Espanyol,Sevilla,1.6,1.0,1.0,1.0,-1.5,0.5,3.2,2.66,3.25
75,2024-10-21,Valencia,Las Palmas,1.0,0.6,0.8,1.0,-1.0,-3.5,1.93,5.2,3.5
76,2024-10-20,Villarreal,Getafe,2.5,1.9,0.5,0.7,1.0,-1.0,1.88,5.0,3.7
77,2024-10-20,Mallorca,Rayo Vallecano,0.8,1.0,1.0,1.2,1.5,1.0,2.1,4.7,3.2
78,2024-10-20,Barcelona,Sevilla,3.3,3.1,1.0,1.0,2.5,1.5,1.33,11.0,6.2
79,2024-10-20,Atletico Madrid,Leganes,1.8,1.4,0.6,0.6,2.0,-1.5,1.46,10.0,4.7
80,2024-10-19,Osasuna,Betis,2.2,1.4,0.3,0.9,1.5,0.5,2.54,3.35,3.25
81,2024-10-19,Girona,Real Sociedad,1.8,1.2,0.3,0.8,0.5,0.0,2.8,2.94,3.3
82,2024-10-19,Celta Vigo,Real Madrid,1.8,1.8,1.3,2.1,-0.5,3.5,5.9,1.63,4.6
83,2024-10-19,Athletic Bilbao,Espanyol,1.2,1.4,0.3,1.0,0.5,-0.5,1.52,8.8,4.4
84,2024-10-18,Alaves,Valladolid,1.0,1.2,0.5,0.6,-2.5,-4.0,1.68,6.2,4.1
85,2024-10-06,Sevilla,Betis,1.0,1.0,0.3,1.0,0.0,0.5,2.82,2.96,3.3
86,2024-10-06,Real Sociedad,Atletico Madrid,1.3,0.8,1.3,1.5,-1.0,2.0,2.9,2.96,3.2
87,2024-10-06,Girona,Athletic Bilbao,1.7,1.1,2.0,1.5,-0.5,2.5,2.5,3.25,3.45
88,2024-10-06,Alaves,Barcelona,1.3,1.4,3.0,3.1,-0.5,2.5,5.0,1.75,4.4
